delay,training steps,traffic intensity,tm
6.44,2K,125%,1250_11
4.772,2K,125%,1250_12
4.611,2K,125%,1250_13
4.751,2K,125%,1250_14
5.563,2K,125%,1250_15
6.472,2K,125%,1250_16
4.872,2K,125%,1250_17
9.964,2K,125%,1250_18
6.255,2K,125%,1250_19
6.995,2K,125%,1250_20
4.476,2K,125%,1250_21
4.2,2K,125%,1250_22
4.076,2K,125%,1250_23
5.128,2K,125%,1250_24
4.894,2K,125%,1250_25
7.573,2K,125%,1250_26
5.315,2K,125%,1250_27
6.669,2K,125%,1250_28
5.814,2K,125%,1250_29
4.772,2K,125%,1250_30
7.79,2K,125%,1250_31
9.816,2K,125%,1250_32
6.78,2K,125%,1250_33
4.86,2K,125%,1250_34
6.386,2K,125%,1250_35
4.649,2K,125%,1250_36
4.962,2K,125%,1250_37
4.791,2K,125%,1250_38
6.556,2K,125%,1250_39
8.667,2K,125%,1250_40
5.706,2K,125%,1250_41
5.835,2K,125%,1250_42
17.246,2K,125%,1250_43
4.656,2K,125%,1250_44
5.363,2K,125%,1250_45
7.05,2K,125%,1250_46
6.462,2K,125%,1250_47
6.571,2K,125%,1250_48
5.464,2K,125%,1250_49
5.799,2K,125%,1250_50
4.763,2K,125%,1250_51
5.638,2K,125%,1250_52
5.556,2K,125%,1250_53
4.51,2K,125%,1250_54
4.719,2K,125%,1250_55
8.544,2K,125%,1250_56
5.225,2K,125%,1250_57
7.474,2K,125%,1250_58
5.916,2K,125%,1250_59
4.984,2K,125%,1250_60
6.695,2K,125%,1250_61
5.116,2K,125%,1250_62
5.17,2K,125%,1250_63
5.794,2K,125%,1250_64
3.263,2K,125%,1250_65
4.178,2K,125%,1250_66
12.633,2K,125%,1250_67
4.142,2K,125%,1250_68
7.061,2K,125%,1250_69
4.683,2K,125%,1250_70
4.409,2K,125%,1250_71
7.922,2K,125%,1250_72
5.79,2K,125%,1250_73
6.256,2K,125%,1250_74
11.085,2K,125%,1250_75
4.818,2K,125%,1250_76
5.608,2K,125%,1250_77
5.636,2K,125%,1250_78
5.75,2K,125%,1250_79
11.32,2K,125%,1250_80
7.294,2K,125%,1250_81
5.201,2K,125%,1250_82
6.3,2K,125%,1250_83
6.386,2K,125%,1250_84
5.442,2K,125%,1250_85
9.297,2K,125%,1250_86
4.978,2K,125%,1250_87
5.105,2K,125%,1250_88
4.662,2K,125%,1250_89
8.452,2K,125%,1250_90
4.259,2K,125%,1250_91
12.124,2K,125%,1250_92
4.47,2K,125%,1250_93
6.011,2K,125%,1250_94
5.316,2K,125%,1250_95
5.132,2K,125%,1250_96
5.639,2K,125%,1250_97
6.544,2K,125%,1250_98
6.539,2K,125%,1250_99
0.342,4K,12.5%,125_0
0.38,4K,12.5%,125_1
0.379,4K,12.5%,125_2
0.382,4K,12.5%,125_3
0.38,4K,12.5%,125_4
0.332,4K,12.5%,125_5
0.417,4K,12.5%,125_6
0.379,4K,12.5%,125_7
0.83,4K,12.5%,125_8
0.36,4K,12.5%,125_9
0.406,4K,12.5%,125_10
0.402,4K,12.5%,125_11
0.36,4K,12.5%,125_12
0.396,4K,12.5%,125_13
0.388,4K,12.5%,125_14
0.382,4K,12.5%,125_15
0.384,4K,12.5%,125_16
0.536,4K,12.5%,125_17
0.409,4K,12.5%,125_18
0.401,4K,12.5%,125_19
0.369,4K,12.5%,125_20
0.404,4K,12.5%,125_21
0.65,4K,12.5%,125_22
0.469,4K,12.5%,125_23
0.37,4K,12.5%,125_24
0.546,4K,12.5%,125_25
0.457,4K,12.5%,125_26
0.347,4K,12.5%,125_27
0.352,4K,12.5%,125_28
0.399,4K,12.5%,125_29
0.428,4K,12.5%,125_30
0.368,4K,12.5%,125_31
0.4,4K,12.5%,125_32
0.366,4K,12.5%,125_33
0.593,4K,12.5%,125_34
0.38,4K,12.5%,125_35
0.379,4K,12.5%,125_36
0.348,4K,12.5%,125_37
0.506,4K,12.5%,125_38
0.467,4K,12.5%,125_39
0.438,4K,12.5%,125_40
0.514,4K,12.5%,125_41
0.355,4K,12.5%,125_42
0.347,4K,12.5%,125_43
0.372,4K,12.5%,125_44
0.39,4K,12.5%,125_45
0.366,4K,12.5%,125_46
0.411,4K,12.5%,125_47
0.746,4K,12.5%,125_48
0.372,4K,12.5%,125_49
0.397,4K,12.5%,125_50
0.36,4K,12.5%,125_51
0.348,4K,12.5%,125_52
0.394,4K,12.5%,125_53
0.39,4K,12.5%,125_54
0.834,4K,12.5%,125_55
0.372,4K,12.5%,125_56
0.36,4K,12.5%,125_57
0.347,4K,12.5%,125_58
0.397,4K,12.5%,125_59
0.351,4K,12.5%,125_60
0.381,4K,12.5%,125_61
0.403,4K,12.5%,125_62
0.397,4K,12.5%,125_63
0.391,4K,12.5%,125_64
0.472,4K,12.5%,125_65
0.459,4K,12.5%,125_66
0.36,4K,12.5%,125_67
0.336,4K,12.5%,125_68
0.359,4K,12.5%,125_69
0.722,4K,12.5%,125_70
0.363,4K,12.5%,125_71
0.412,4K,12.5%,125_72
0.381,4K,12.5%,125_73
0.359,4K,12.5%,125_74
0.374,4K,12.5%,125_75
0.393,4K,12.5%,125_76
0.349,4K,12.5%,125_77
0.377,4K,12.5%,125_78
0.408,4K,12.5%,125_79
0.409,4K,12.5%,125_80
0.38,4K,12.5%,125_81
0.405,4K,12.5%,125_82
0.382,4K,12.5%,125_83
0.543,4K,12.5%,125_84
0.379,4K,12.5%,125_85
0.62,4K,12.5%,125_86
0.376,4K,12.5%,125_87
0.425,4K,12.5%,125_88
0.366,4K,12.5%,125_89
0.398,4K,12.5%,125_90
0.389,4K,12.5%,125_91
0.385,4K,12.5%,125_92
0.366,4K,12.5%,125_93
0.389,4K,12.5%,125_94
0.416,4K,12.5%,125_95
0.38,4K,12.5%,125_96
0.404,4K,12.5%,125_97
0.357,4K,12.5%,125_98
0.357,4K,12.5%,125_99
1.786,4K,25%,250_0
1.115,4K,25%,250_1
0.662,4K,25%,250_2
0.64,4K,25%,250_3
0.978,4K,25%,250_4
0.617,4K,25%,250_5
0.625,4K,25%,250_6
1.05,4K,25%,250_7
1.536,4K,25%,250_8
1.209,4K,25%,250_9
1.169,4K,25%,250_10
0.942,4K,25%,250_11
1.065,4K,25%,250_12
1.081,4K,25%,250_13
0.539,4K,25%,250_14
0.844,4K,25%,250_15
2.627,4K,25%,250_16
1.415,4K,25%,250_17
0.708,4K,25%,250_18
1.152,4K,25%,250_19
0.656,4K,25%,250_20
2.586,4K,25%,250_21
0.756,4K,25%,250_22
2.067,4K,25%,250_23
1.597,4K,25%,250_24
1.819,4K,25%,250_25
2.179,4K,25%,250_26
0.621,4K,25%,250_27
1.463,4K,25%,250_28
0.782,4K,25%,250_29
1.484,4K,25%,250_30
0.971,4K,25%,250_31
0.951,4K,25%,250_32
0.664,4K,25%,250_33
1.228,4K,25%,250_34
0.894,4K,25%,250_35
1.263,4K,25%,250_36
1.013,4K,25%,250_37
1.056,4K,25%,250_38
1.005,4K,25%,250_39
2.703,4K,25%,250_40
0.477,4K,25%,250_41
0.618,4K,25%,250_42
0.965,4K,25%,250_43
0.752,4K,25%,250_44
1.354,4K,25%,250_45
1.266,4K,25%,250_46
0.974,4K,25%,250_47
0.9,4K,25%,250_48
0.831,4K,25%,250_49
1.364,4K,25%,250_50
3.773,4K,25%,250_51
1.061,4K,25%,250_52
1.681,4K,25%,250_53
0.867,4K,25%,250_54
0.994,4K,25%,250_55
0.983,4K,25%,250_56
0.814,4K,25%,250_57
0.918,4K,25%,250_58
0.688,4K,25%,250_59
0.952,4K,25%,250_60
1.063,4K,25%,250_61
0.737,4K,25%,250_62
1.076,4K,25%,250_63
0.624,4K,25%,250_64
1.151,4K,25%,250_65
1.85,4K,25%,250_66
0.895,4K,25%,250_67
1.396,4K,25%,250_68
1.465,4K,25%,250_69
2.544,4K,25%,250_70
1.337,4K,25%,250_71
0.685,4K,25%,250_72
0.894,4K,25%,250_73
2.07,4K,25%,250_74
2.036,4K,25%,250_75
2.358,4K,25%,250_76
0.716,4K,25%,250_77
0.725,4K,25%,250_78
1.044,4K,25%,250_79
0.522,4K,25%,250_80
1.165,4K,25%,250_81
0.526,4K,25%,250_82
0.843,4K,25%,250_83
0.614,4K,25%,250_84
0.51,4K,25%,250_85
0.751,4K,25%,250_86
0.471,4K,25%,250_87
1.185,4K,25%,250_88
0.891,4K,25%,250_89
0.774,4K,25%,250_90
0.808,4K,25%,250_91
0.575,4K,25%,250_92
1.285,4K,25%,250_93
0.973,4K,25%,250_94
1.531,4K,25%,250_95
2.147,4K,25%,250_96
0.506,4K,25%,250_97
1.356,4K,25%,250_98
1.365,4K,25%,250_99
1.818,4K,37.5%,375_0
2.008,4K,37.5%,375_1
1.018,4K,37.5%,375_2
1.687,4K,37.5%,375_3
1.721,4K,37.5%,375_4
1.701,4K,37.5%,375_5
2.751,4K,37.5%,375_6
2.233,4K,37.5%,375_7
1.695,4K,37.5%,375_8
1.886,4K,37.5%,375_9
1.478,4K,37.5%,375_10
2.236,4K,37.5%,375_11
1.819,4K,37.5%,375_12
2.306,4K,37.5%,375_13
1.757,4K,37.5%,375_14
1.704,4K,37.5%,375_15
2.167,4K,37.5%,375_16
2.771,4K,37.5%,375_17
1.915,4K,37.5%,375_18
1.948,4K,37.5%,375_19
3.136,4K,37.5%,375_20
2.325,4K,37.5%,375_21
2.005,4K,37.5%,375_22
1.692,4K,37.5%,375_23
2.673,4K,37.5%,375_24
1.87,4K,37.5%,375_25
3.834,4K,37.5%,375_26
1.666,4K,37.5%,375_27
3.733,4K,37.5%,375_28
1.549,4K,37.5%,375_29
3.042,4K,37.5%,375_30
3.265,4K,37.5%,375_31
1.629,4K,37.5%,375_32
1.347,4K,37.5%,375_33
2.233,4K,37.5%,375_34
4.591,4K,37.5%,375_35
2.383,4K,37.5%,375_36
2.677,4K,37.5%,375_37
2.749,4K,37.5%,375_38
2.14,4K,37.5%,375_39
2.322,4K,37.5%,375_40
1.567,4K,37.5%,375_41
2.035,4K,37.5%,375_42
2.301,4K,37.5%,375_43
2.209,4K,37.5%,375_44
1.584,4K,37.5%,375_45
2.611,4K,37.5%,375_46
2.4,4K,37.5%,375_47
1.096,4K,37.5%,375_48
1.534,4K,37.5%,375_49
2.769,4K,37.5%,375_50
2.631,4K,37.5%,375_51
1.597,4K,37.5%,375_52
1.86,4K,37.5%,375_53
1.819,4K,37.5%,375_54
1.984,4K,37.5%,375_55
3.529,4K,37.5%,375_56
2.047,4K,37.5%,375_57
2.23,4K,37.5%,375_58
1.48,4K,37.5%,375_59
2.053,4K,37.5%,375_60
2.248,4K,37.5%,375_61
2.394,4K,37.5%,375_62
1.661,4K,37.5%,375_63
1.796,4K,37.5%,375_64
1.81,4K,37.5%,375_65
2.12,4K,37.5%,375_66
1.758,4K,37.5%,375_67
2.09,4K,37.5%,375_68
1.807,4K,37.5%,375_69
2.029,4K,37.5%,375_70
1.222,4K,37.5%,375_71
2.162,4K,37.5%,375_72
2.053,4K,37.5%,375_73
2.598,4K,37.5%,375_74
1.476,4K,37.5%,375_75
2.273,4K,37.5%,375_76
2.171,4K,37.5%,375_77
1.866,4K,37.5%,375_78
2.335,4K,37.5%,375_79
3.101,4K,37.5%,375_80
1.896,4K,37.5%,375_81
1.924,4K,37.5%,375_82
1.982,4K,37.5%,375_83
2.284,4K,37.5%,375_84
1.955,4K,37.5%,375_85
2.387,4K,37.5%,375_86
1.754,4K,37.5%,375_87
1.988,4K,37.5%,375_88
2.162,4K,37.5%,375_89
2.383,4K,37.5%,375_90
1.581,4K,37.5%,375_91
2.329,4K,37.5%,375_92
2.237,4K,37.5%,375_93
4.691,4K,37.5%,375_94
1.697,4K,37.5%,375_95
3.251,4K,37.5%,375_96
5.243,4K,37.5%,375_97
1.806,4K,37.5%,375_98
2.288,4K,37.5%,375_99
2.641,4K,50%,500_0
2.275,4K,50%,500_1
3.676,4K,50%,500_2
3.013,4K,50%,500_3
2.784,4K,50%,500_4
2.571,4K,50%,500_5
3.103,4K,50%,500_6
2.902,4K,50%,500_7
2.951,4K,50%,500_8
2.12,4K,50%,500_9
3.769,4K,50%,500_10
3.389,4K,50%,500_11
3.153,4K,50%,500_12
3.131,4K,50%,500_13
3.63,4K,50%,500_14
2.091,4K,50%,500_15
3.097,4K,50%,500_16
3.382,4K,50%,500_17
3.488,4K,50%,500_18
3.297,4K,50%,500_19
3.099,4K,50%,500_20
2.522,4K,50%,500_21
3.072,4K,50%,500_22
4.207,4K,50%,500_23
2.717,4K,50%,500_24
3.598,4K,50%,500_25
2.206,4K,50%,500_26
2.346,4K,50%,500_27
2.724,4K,50%,500_28
3.074,4K,50%,500_29
5.011,4K,50%,500_30
2.419,4K,50%,500_31
2.608,4K,50%,500_32
2.045,4K,50%,500_33
2.552,4K,50%,500_34
3.502,4K,50%,500_35
2.7,4K,50%,500_36
4.179,4K,50%,500_37
2.771,4K,50%,500_38
3.013,4K,50%,500_39
3.928,4K,50%,500_40
3.574,4K,50%,500_41
2.213,4K,50%,500_42
2.244,4K,50%,500_43
2.283,4K,50%,500_44
2.859,4K,50%,500_45
3.179,4K,50%,500_46
2.419,4K,50%,500_47
2.177,4K,50%,500_48
2.7,4K,50%,500_49
1.982,4K,50%,500_50
2.758,4K,50%,500_51
6.527,4K,50%,500_52
2.618,4K,50%,500_53
1.977,4K,50%,500_54
3.172,4K,50%,500_55
2.354,4K,50%,500_56
2.629,4K,50%,500_57
2.683,4K,50%,500_58
2.407,4K,50%,500_59
2.546,4K,50%,500_60
2.375,4K,50%,500_61
2.116,4K,50%,500_62
3.194,4K,50%,500_63
3.296,4K,50%,500_64
2.686,4K,50%,500_65
4.667,4K,50%,500_66
2.155,4K,50%,500_67
2.089,4K,50%,500_68
2.684,4K,50%,500_69
2.717,4K,50%,500_70
2.569,4K,50%,500_71
3.4,4K,50%,500_72
2.804,4K,50%,500_73
3.074,4K,50%,500_74
3.118,4K,50%,500_75
3.287,4K,50%,500_76
4.194,4K,50%,500_77
2.52,4K,50%,500_78
3.101,4K,50%,500_79
4.334,4K,50%,500_80
1.974,4K,50%,500_81
2.81,4K,50%,500_82
4.228,4K,50%,500_83
3.107,4K,50%,500_84
2.455,4K,50%,500_85
2.605,4K,50%,500_86
2.647,4K,50%,500_87
2.489,4K,50%,500_88
2.16,4K,50%,500_89
3.967,4K,50%,500_90
2.64,4K,50%,500_91
2.603,4K,50%,500_92
2.432,4K,50%,500_93
2.646,4K,50%,500_94
2.594,4K,50%,500_95
3.135,4K,50%,500_96
2.568,4K,50%,500_97
2.286,4K,50%,500_98
2.581,4K,50%,500_99
3.038,4K,62.5%,625_0
2.69,4K,62.5%,625_1
2.937,4K,62.5%,625_2
2.664,4K,62.5%,625_3
3.611,4K,62.5%,625_4
3.471,4K,62.5%,625_5
3.621,4K,62.5%,625_6
3.256,4K,62.5%,625_7
3.933,4K,62.5%,625_8
6.557,4K,62.5%,625_9
3.116,4K,62.5%,625_10
3.22,4K,62.5%,625_11
3.103,4K,62.5%,625_12
5.067,4K,62.5%,625_13
3.178,4K,62.5%,625_14
2.722,4K,62.5%,625_15
6.771,4K,62.5%,625_16
5.418,4K,62.5%,625_17
3.778,4K,62.5%,625_18
4.005,4K,62.5%,625_19
3.914,4K,62.5%,625_20
3.138,4K,62.5%,625_21
6.33,4K,62.5%,625_22
3.136,4K,62.5%,625_23
3.205,4K,62.5%,625_24
3.415,4K,62.5%,625_25
6.643,4K,62.5%,625_26
8.216,4K,62.5%,625_27
2.629,4K,62.5%,625_28
3.027,4K,62.5%,625_29
2.025,4K,62.5%,625_30
3.951,4K,62.5%,625_31
3.537,4K,62.5%,625_32
2.306,4K,62.5%,625_33
3.718,4K,62.5%,625_34
3.419,4K,62.5%,625_35
3.253,4K,62.5%,625_36
3.912,4K,62.5%,625_37
3.689,4K,62.5%,625_38
4.061,4K,62.5%,625_39
2.878,4K,62.5%,625_40
4.169,4K,62.5%,625_41
3.871,4K,62.5%,625_42
3.471,4K,62.5%,625_43
3.867,4K,62.5%,625_44
3.695,4K,62.5%,625_45
5.122,4K,62.5%,625_46
3.902,4K,62.5%,625_47
8.85,4K,62.5%,625_48
3.996,4K,62.5%,625_49
4.52,4K,62.5%,625_50
3.538,4K,62.5%,625_51
3.521,4K,62.5%,625_52
2.572,4K,62.5%,625_53
3.674,4K,62.5%,625_54
3.519,4K,62.5%,625_55
3.35,4K,62.5%,625_56
3.694,4K,62.5%,625_57
3.464,4K,62.5%,625_58
2.841,4K,62.5%,625_59
2.887,4K,62.5%,625_60
4.121,4K,62.5%,625_61
3.16,4K,62.5%,625_62
4.797,4K,62.5%,625_63
2.864,4K,62.5%,625_64
2.768,4K,62.5%,625_65
4.216,4K,62.5%,625_66
3.563,4K,62.5%,625_67
5.701,4K,62.5%,625_68
3.089,4K,62.5%,625_69
4.699,4K,62.5%,625_70
3.868,4K,62.5%,625_71
3.228,4K,62.5%,625_72
2.98,4K,62.5%,625_73
2.483,4K,62.5%,625_74
4.045,4K,62.5%,625_75
2.824,4K,62.5%,625_76
3.782,4K,62.5%,625_77
2.906,4K,62.5%,625_78
3.38,4K,62.5%,625_79
2.838,4K,62.5%,625_80
3.328,4K,62.5%,625_81
3.283,4K,62.5%,625_82
4.506,4K,62.5%,625_83
3.782,4K,62.5%,625_84
3.953,4K,62.5%,625_85
8.462,4K,62.5%,625_86
5.823,4K,62.5%,625_87
4.978,4K,62.5%,625_88
3.26,4K,62.5%,625_89
5.236,4K,62.5%,625_90
2.389,4K,62.5%,625_91
3.817,4K,62.5%,625_92
3.48,4K,62.5%,625_93
3.596,4K,62.5%,625_94
5.434,4K,62.5%,625_95
2.905,4K,62.5%,625_96
5.35,4K,62.5%,625_97
3.04,4K,62.5%,625_98
3.83,4K,62.5%,625_99
3.326,4K,75%,750_0
5.733,4K,75%,750_1
4.097,4K,75%,750_2
3.983,4K,75%,750_3
7.339,4K,75%,750_4
4.675,4K,75%,750_5
4.444,4K,75%,750_6
5.182,4K,75%,750_7
4.208,4K,75%,750_8
4.549,4K,75%,750_9
4.154,4K,75%,750_10
3.397,4K,75%,750_11
3.63,4K,75%,750_12
3.098,4K,75%,750_13
6.878,4K,75%,750_14
4.575,4K,75%,750_15
3.347,4K,75%,750_16
6.327,4K,75%,750_17
3.685,4K,75%,750_18
6.89,4K,75%,750_19
3.716,4K,75%,750_20
5.759,4K,75%,750_21
3.876,4K,75%,750_22
4.425,4K,75%,750_23
4.148,4K,75%,750_24
3.473,4K,75%,750_25
4.284,4K,75%,750_26
4.521,4K,75%,750_27
4.943,4K,75%,750_28
3.474,4K,75%,750_29
3.873,4K,75%,750_30
3.561,4K,75%,750_31
4.403,4K,75%,750_32
4.115,4K,75%,750_33
3.331,4K,75%,750_34
5.425,4K,75%,750_35
3.676,4K,75%,750_36
5.463,4K,75%,750_37
4.445,4K,75%,750_38
2.88,4K,75%,750_39
5.3,4K,75%,750_40
4.876,4K,75%,750_41
3.844,4K,75%,750_42
5.538,4K,75%,750_43
3.175,4K,75%,750_44
4.616,4K,75%,750_45
3.744,4K,75%,750_46
3.978,4K,75%,750_47
5.676,4K,75%,750_48
3.137,4K,75%,750_49
3.498,4K,75%,750_50
3.36,4K,75%,750_51
9.138,4K,75%,750_52
4.147,4K,75%,750_53
5.198,4K,75%,750_54
3.565,4K,75%,750_55
4.554,4K,75%,750_56
3.825,4K,75%,750_57
3.758,4K,75%,750_58
4.222,4K,75%,750_59
3.164,4K,75%,750_60
6.047,4K,75%,750_61
5.157,4K,75%,750_62
4.846,4K,75%,750_63
5.072,4K,75%,750_64
3.455,4K,75%,750_65
5.041,4K,75%,750_66
3.996,4K,75%,750_67
4.026,4K,75%,750_68
4.67,4K,75%,750_69
3.608,4K,75%,750_70
4.765,4K,75%,750_71
2.939,4K,75%,750_72
3.248,4K,75%,750_73
3.994,4K,75%,750_74
10.833,4K,75%,750_75
4.894,4K,75%,750_76
4.052,4K,75%,750_77
3.312,4K,75%,750_78
4.83,4K,75%,750_79
5.342,4K,75%,750_80
6.194,4K,75%,750_81
4.413,4K,75%,750_82
3.952,4K,75%,750_83
7.504,4K,75%,750_84
4.126,4K,75%,750_85
4.835,4K,75%,750_86
3.991,4K,75%,750_87
5.059,4K,75%,750_88
4.211,4K,75%,750_89
3.369,4K,75%,750_90
2.942,4K,75%,750_91
4.552,4K,75%,750_92
4.711,4K,75%,750_93
3.729,4K,75%,750_94
5.265,4K,75%,750_95
2.857,4K,75%,750_96
3.665,4K,75%,750_97
4.571,4K,75%,750_98
2.567,4K,75%,750_99
4.707,4K,87.5%,875_0
5.583,4K,87.5%,875_1
4.899,4K,87.5%,875_2
4.108,4K,87.5%,875_3
6.195,4K,87.5%,875_4
4.228,4K,87.5%,875_5
3.485,4K,87.5%,875_6
5.064,4K,87.5%,875_7
4.415,4K,87.5%,875_8
8.325,4K,87.5%,875_9
3.955,4K,87.5%,875_10
3.439,4K,87.5%,875_11
4.887,4K,87.5%,875_12
3.374,4K,87.5%,875_13
4.763,4K,87.5%,875_14
4.169,4K,87.5%,875_15
5.202,4K,87.5%,875_16
4.506,4K,87.5%,875_17
4.643,4K,87.5%,875_18
5.81,4K,87.5%,875_19
3.059,4K,87.5%,875_20
6.974,4K,87.5%,875_21
3.934,4K,87.5%,875_22
4.13,4K,87.5%,875_23
4.217,4K,87.5%,875_24
5.472,4K,87.5%,875_25
4.416,4K,87.5%,875_26
3.165,4K,87.5%,875_27
4.133,4K,87.5%,875_28
4.175,4K,87.5%,875_29
4.21,4K,87.5%,875_30
3.438,4K,87.5%,875_31
3.721,4K,87.5%,875_32
3.635,4K,87.5%,875_33
5.13,4K,87.5%,875_34
4.745,4K,87.5%,875_35
11.674,4K,87.5%,875_36
4.356,4K,87.5%,875_37
6.989,4K,87.5%,875_38
5.114,4K,87.5%,875_39
3.606,4K,87.5%,875_40
5.694,4K,87.5%,875_41
5.684,4K,87.5%,875_42
3.978,4K,87.5%,875_43
4.541,4K,87.5%,875_44
3.171,4K,87.5%,875_45
4.655,4K,87.5%,875_46
6.486,4K,87.5%,875_47
5.435,4K,87.5%,875_48
4.202,4K,87.5%,875_49
4.958,4K,87.5%,875_50
5.558,4K,87.5%,875_51
6.748,4K,87.5%,875_52
4.701,4K,87.5%,875_53
4.855,4K,87.5%,875_54
6.222,4K,87.5%,875_55
3.193,4K,87.5%,875_56
5.52,4K,87.5%,875_57
3.948,4K,87.5%,875_58
5.135,4K,87.5%,875_59
4.662,4K,87.5%,875_60
3.653,4K,87.5%,875_61
3.652,4K,87.5%,875_62
4.426,4K,87.5%,875_63
4.885,4K,87.5%,875_64
5.065,4K,87.5%,875_65
7.712,4K,87.5%,875_66
5.941,4K,87.5%,875_67
5.428,4K,87.5%,875_68
3.476,4K,87.5%,875_69
4.789,4K,87.5%,875_70
4.238,4K,87.5%,875_71
2.846,4K,87.5%,875_72
4.5,4K,87.5%,875_73
7.358,4K,87.5%,875_74
5.317,4K,87.5%,875_75
4.52,4K,87.5%,875_76
2.783,4K,87.5%,875_77
4.175,4K,87.5%,875_78
4.69,4K,87.5%,875_79
4.448,4K,87.5%,875_80
3.787,4K,87.5%,875_81
3.959,4K,87.5%,875_82
3.517,4K,87.5%,875_83
4.226,4K,87.5%,875_84
3.613,4K,87.5%,875_85
4.727,4K,87.5%,875_86
3.482,4K,87.5%,875_87
4.961,4K,87.5%,875_88
2.813,4K,87.5%,875_89
5.87,4K,87.5%,875_90
4.928,4K,87.5%,875_91
9.835,4K,87.5%,875_92
4.199,4K,87.5%,875_93
4.685,4K,87.5%,875_94
4.577,4K,87.5%,875_95
5.09,4K,87.5%,875_96
4.116,4K,87.5%,875_97
4.421,4K,87.5%,875_98
5.542,4K,87.5%,875_99
3.497,4K,100%,1000_0
4.269,4K,100%,1000_1
4.582,4K,100%,1000_2
6.933,4K,100%,1000_3
5.469,4K,100%,1000_4
4.053,4K,100%,1000_5
4.654,4K,100%,1000_6
4.23,4K,100%,1000_7
5.181,4K,100%,1000_8
5.334,4K,100%,1000_9
3.241,4K,100%,1000_10
6.536,4K,100%,1000_11
4.438,4K,100%,1000_12
2.92,4K,100%,1000_13
8.246,4K,100%,1000_14
6.326,4K,100%,1000_15
3.593,4K,100%,1000_16
4.957,4K,100%,1000_17
6.173,4K,100%,1000_18
3.952,4K,100%,1000_19
9.389,4K,100%,1000_20
3.723,4K,100%,1000_21
4.69,4K,100%,1000_22
7.087,4K,100%,1000_23
6.318,4K,100%,1000_24
4.104,4K,100%,1000_25
4.207,4K,100%,1000_26
4.876,4K,100%,1000_27
6.364,4K,100%,1000_28
4.56,4K,100%,1000_29
5.647,4K,100%,1000_30
3.726,4K,100%,1000_31
5.077,4K,100%,1000_32
4.963,4K,100%,1000_33
4.677,4K,100%,1000_34
5.956,4K,100%,1000_35
21.331,4K,100%,1000_36
4.861,4K,100%,1000_37
3.919,4K,100%,1000_38
3.346,4K,100%,1000_39
4.46,4K,100%,1000_40
7.068,4K,100%,1000_41
5.183,4K,100%,1000_42
6.905,4K,100%,1000_43
4.25,4K,100%,1000_44
5.374,4K,100%,1000_45
5.259,4K,100%,1000_46
6.11,4K,100%,1000_47
5.881,4K,100%,1000_48
6.357,4K,100%,1000_49
5.505,4K,100%,1000_50
4.39,4K,100%,1000_51
3.617,4K,100%,1000_52
6.203,4K,100%,1000_53
5.3,4K,100%,1000_54
4.772,4K,100%,1000_55
4.474,4K,100%,1000_56
6.574,4K,100%,1000_57
4.388,4K,100%,1000_58
4.703,4K,100%,1000_59
5.397,4K,100%,1000_60
3.878,4K,100%,1000_61
5.306,4K,100%,1000_62
5.453,4K,100%,1000_63
4.034,4K,100%,1000_64
4.808,4K,100%,1000_65
4.905,4K,100%,1000_66
7.224,4K,100%,1000_67
4.19,4K,100%,1000_68
5.325,4K,100%,1000_69
4.834,4K,100%,1000_70
7.067,4K,100%,1000_71
5.244,4K,100%,1000_72
5.258,4K,100%,1000_73
4.874,4K,100%,1000_74
2.906,4K,100%,1000_75
4.94,4K,100%,1000_76
3.811,4K,100%,1000_77
4.449,4K,100%,1000_78
3.639,4K,100%,1000_79
5.234,4K,100%,1000_80
4.352,4K,100%,1000_81
6.137,4K,100%,1000_82
3.667,4K,100%,1000_83
4.199,4K,100%,1000_84
4.392,4K,100%,1000_85
5.342,4K,100%,1000_86
3.617,4K,100%,1000_87
5.693,4K,100%,1000_88
3.101,4K,100%,1000_89
5.275,4K,100%,1000_90
4.619,4K,100%,1000_91
5.364,4K,100%,1000_92
4.485,4K,100%,1000_93
5.267,4K,100%,1000_94
4.759,4K,100%,1000_95
3.784,4K,100%,1000_96
4.722,4K,100%,1000_97
7.599,4K,100%,1000_98
6.294,4K,100%,1000_99
7.819,4K,112.5%,1125_0
4.693,4K,112.5%,1125_1
3.579,4K,112.5%,1125_2
5.252,4K,112.5%,1125_3
4.11,4K,112.5%,1125_4
4.277,4K,112.5%,1125_5
7.517,4K,112.5%,1125_6
5.861,4K,112.5%,1125_7
9.477,4K,112.5%,1125_8
4.816,4K,112.5%,1125_9
8.271,4K,112.5%,1125_10
5.099,4K,112.5%,1125_11
3.219,4K,112.5%,1125_12
6.198,4K,112.5%,1125_13
4.881,4K,112.5%,1125_14
4.186,4K,112.5%,1125_15
4.062,4K,112.5%,1125_16
6.045,4K,112.5%,1125_17
6.542,4K,112.5%,1125_18
5.383,4K,112.5%,1125_19
5.38,4K,112.5%,1125_20
4.567,4K,112.5%,1125_21
5.306,4K,112.5%,1125_22
5.148,4K,112.5%,1125_23
5.697,4K,112.5%,1125_24
5.286,4K,112.5%,1125_25
3.619,4K,112.5%,1125_26
9.606,4K,112.5%,1125_27
3.663,4K,112.5%,1125_28
8.454,4K,112.5%,1125_29
3.596,4K,112.5%,1125_30
5.489,4K,112.5%,1125_31
